invoice_date,job_card_date,business_partner_name,vehicle_no,vehicle_model,current_km_reading,invoice_line_text,year,month,units_sold,system_category,refined_system_category
2017-02-06,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,POLISH,2017,February,1,General Service & Labour,Miscellaneous
2017-02-06,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,CONSUMABLES,2017,February,1,Miscellaneous,Miscellaneous
2017-02-06,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,COOLANT OIL,2017,February,1,Miscellaneous,Miscellaneous
2017-02-06,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758,4 WAY SWITCH,2017,February,1,Electrical,Miscellaneous
2017-05-31,2017-05-31,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717,3M OIL,2017,May,1,Miscellaneous,Miscellaneous
2017-05-31,2017-05-31,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,7854,OIL FILTER,2017,May,1,Miscellaneous,Miscellaneous
2017-05-31,2017-05-31,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391,3M OIL,2017,May,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,HEAD REST,2017,March,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,VALVE GUIDE,2017,March,1,Engine & Transmission,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,LOW BEAM BULB,2017,March,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,VALVE GRAINDING,2017,March,1,Engine & Transmission,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,LOADING GEAR,2017,March,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,PACKING KIT,2017,March,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,CLUTCH BELL REST,2017,March,1,Engine & Transmission,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,VALVE KIT,2017,March,1,Engine & Transmission,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,SPARK PLUG,2017,March,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,BORE KIT,2017,March,1,Miscellaneous,Miscellaneous
2017-03-06,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000,AIR FILTER,2017,March,1,Miscellaneous,Miscellaneous
